system   D            wsystem.c:583  maybe_parent_dir                 [   0.00142] Also searching C:\Users\Adam\documents\visual studio 2012\Projects\Allegro\
display  D   display_settings.c:191  debug_display_settings           [   0.06404] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06411] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06417] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06429] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.06441] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.06707] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.06723] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.11569] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.23247] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.23259] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.23271] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.23282] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.23292] Returning d3d_display: 0058B288
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.23299] al_display=0058B288
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.23304] al_display->vt=0058B1C0
dtor     D               dtor.c:184  _al_register_destructor          [   0.23515] added dtor for object 005D0C40, func 5B3024BE
dtor     D               dtor.c:184  _al_register_destructor          [   0.23529] added dtor for object 005D0DC0, func 5B30278E
bitmap   W          bitmap_io.c:225  al_load_bitmap                   [   0.23567] No handler for bitmap extensions .png - therefore not trying to load sprite.png.
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [   8.14476] destroying display 0058B288 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [   8.14490] waiting for display 0058B288's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [   8.16472] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1522 d3d_display_thread_proc          [   8.18618] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.18742] removed dtor for object 005D0DC0
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.20313] removed dtor for object 005D0C40
